0.22.1	id=lfsi_emp_a_h
0.22.1	id=lfsi_educ_a_h
0.22.1	id=demo_pjan
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=tps00017	filters=c("AGEMOTH")
0.22.1	id=tps00017	filters=c("AGEMOTH")
0.22.1	id=tps00017	filters=c("AGEMOTH")
0.22.1	id=demo_mlexpecedu	filters=c("AGEMOTH")
0.22.1	id=demo_mlexpecedu
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_T1", "TOTAL")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_T1", "TOTAL")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=lfsa_erganedm
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "NR", sex = "T", age = "TOTAL")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "NR", sex = "T", age = "TOTAL")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "NR", sex = "T", age = "TOTAL")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=lfsi_emp_a_h	filters=c("PC_POP", "T", "Y15-64", "EMP_LFS")
0.22.1	id=demo_pjan	filters=c("TOTAL", "T")
0.22.1	id=nama_10_gdp	filters=c("CP_MEUR", "B1GQ", "")
0.22.1	id=earn_nt_net	filters=c("EUR", "TOTAL", "P1_NCH_AW100")
0.22.1	id=une_rt_a_h	filters=c("PC_POP", "T", "Y15-74")
0.22.1	id=demo_mlexpecedu	filters=c("T", "Y_LT1", "TOTAL")
0.22.1	id=nama_10r_3gdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", sex = "T", age = "Total", unit = "NR")	exact_match=FALSE	date_filter=2000:2020
0.22.1	id=nama_10r_3gdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", sex = "T", age = "Total", unit = "NR")	exact_match=FALSE	date_filter=2000:2020
0.22.1	id=nama_10r_3gdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", sex = "T", age = "Total", unit = "NR")	exact_match=FALSE	date_filter=2000:2020
0.22.1	id=nama_10r_3gdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "MIO_PPS_EU27_2020")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
0.22.1	id=demo_r_pjanaggr3	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", sex = "T", age = "Total", unit = "NR")	exact_match=FALSE	date_filter=2000:2020
0.22.1	id=nama_10r_3popgdp	filters=list(geo = c("AT", "DE", "DK", "FR", "EL", "ES", "IT", "NL", "BE", "IE", "PL", "PT", "NO", "SE", "FI", "CH"), nuts_level = "3", unit = "THS")	exact_match=FALSE	date_filter=2000:2020	stringsAsFactors=FALSE
